image,video,frame,time_sec,annotation_class,annotation_status
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0000000.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,0,0.0,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0001376.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,1376,55.04,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0003540.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,3540,141.6,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0005507.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,5507,220.28,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0006097.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,6097,243.88,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0009047.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,9047,361.88,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0010424.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,10424,416.96,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0011014.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,11014,440.56,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0012784.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,12784,511.36,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0013964.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,13964,558.56,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0016127.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,16127,645.08,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0017897.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,17897,715.88,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0019864.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,19864,794.56,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0020848.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,20848,833.92,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/american_vs_colgate_2025_frame_0022814.jpg,data/raw_videos/patriot_league/american/american_vs_colgate_2025.mp4,22814,912.56,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/army_vs_colgate_2025_frame_0000000.jpg,data/raw_videos/patriot_league/army/army_vs_colgate_2025.mp4,0,0.0,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/army_vs_colgate_2025_frame_0002226.jpg,data/raw_videos/patriot_league/army/army_vs_colgate_2025.mp4,2226,89.04,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/army_vs_colgate_2025_frame_0003339.jpg,data/raw_videos/patriot_league/army/army_vs_colgate_2025.mp4,3339,133.56,playable_field,needs_polygon
data/field_segmentation/images_to_annotate/army_vs_colgate_2025_frame_0005195.jpg,data/raw_videos/patriot_league/army/army_vs_colgate_2025.mp4,5195,207.8,playable_field,needs_polygon
