match_id,period,timestamp_seconds,team,player,event_type,start_x,start_y,end_x,end_y,outcome,possession_id,source_event_id,source
7585,1,0.0,Colombia,,starting xi,,,,,successful,1,de3be98d-e227-475b-bd55-f57a6a89d308,statsbomb
7585,1,0.0,England,,starting xi,,,,,successful,1,f50ccda4-b768-4f07-9136-8f79fd17dac5,statsbomb
7585,1,0.0,England,,half start,,,,,successful,1,b5e98805-0a22-4a5e-a306-7d40651a0f6e,statsbomb
7585,1,0.0,Colombia,,half start,,,,,successful,1,762b829f-5f24-4dd7-bfe2-da7e289838bb,statsbomb
7585,1,0.24,Colombia,Radamel Falcao García Zárate,pass,60.0,40.0,50.0,41.0,successful,2,d4883f20-ce68-4f84-b26a-a049a13cb6be,statsbomb
7585,1,0.48,Colombia,Juan Fernando Quintero Paniagua,ball receipt,50.0,41.0,,,successful,2,5fc9acb8-88c3-4cfb-ad9c-fc250c0dffde,statsbomb
7585,1,0.48,Colombia,Juan Fernando Quintero Paniagua,carry,50.0,41.0,51.0,40.0,successful,2,b948f032-4c54-4782-a71a-ffeed8908d00,statsbomb
7585,1,1.0,England,Harry Kane,pressure,62.0,31.0,,,successful,2,a3300067-d4d2-43ef-bc96-239b4aebc98f,statsbomb
7585,1,2.12,Colombia,Juan Fernando Quintero Paniagua,pass,51.0,40.0,47.0,54.0,successful,2,9bdb71f9-c87b-4a66-96f0-def5312ca921,statsbomb
7585,1,3.44,Colombia,Carlos Alberto Sánchez Moreno,ball receipt,47.0,54.0,,,successful,2,05d8e5e5-37fe-4bad-8b21-2dbdff9b56d2,statsbomb
7585,1,3.44,Colombia,Carlos Alberto Sánchez Moreno,carry,47.0,54.0,49.0,55.0,successful,2,2ffa2904-8b47-4817-af26-aa9ac8d2881a,statsbomb
7585,1,4.2,Colombia,Carlos Alberto Sánchez Moreno,pass,49.0,55.0,65.0,79.0,successful,2,6cb0d85d-bd14-42e3-9c2d-7f99ce437796,statsbomb
7585,1,5.36,Colombia,Santiago Arias Naranjo,ball receipt,65.0,79.0,,,successful,2,0cf688d1-8134-4338-a5ea-e8d58dc5719e,statsbomb
7585,1,5.36,Colombia,Santiago Arias Naranjo,carry,65.0,79.0,66.0,78.0,successful,2,e70cdfb1-663c-431d-8a96-8a138a44b5e4,statsbomb
7585,1,5.412,England,Bamidele Alli,pressure,53.0,10.0,,,successful,2,8c4a54c0-1df5-4c4a-ad8e-8afe086b9648,statsbomb
7585,1,6.72,Colombia,Santiago Arias Naranjo,pass,66.0,78.0,96.0,59.0,incomplete,2,f8494960-ec60-4fa4-a565-b3c89757e92b,statsbomb
7585,1,8.52,England,Harry Maguire,pass,25.0,22.0,32.0,2.0,successful,2,d926ec5d-b9f7-43f8-97cd-43632bcd3cb9,statsbomb
7585,1,10.44,Colombia,Santiago Arias Naranjo,pressure,84.0,77.0,,,successful,2,02765261-9d69-4030-bbad-64752e3a65c3,statsbomb
7585,1,11.08,England,Bamidele Alli,ball receipt,32.0,2.0,,,successful,2,34dd393c-200e-4244-8f40-5ec7f0c369c8,statsbomb
7585,1,11.08,England,Bamidele Alli,pass,32.0,2.0,25.0,17.0,incomplete,2,9b85733f-f9cc-4dbf-9890-afa866efddb4,statsbomb
7585,1,12.0,England,Jordan Brian Henderson,ball receipt,28.0,19.0,,,incomplete,2,f708f267-cea3-4636-9a0f-6692350e17a4,statsbomb
7585,1,12.0,Colombia,Juan Guillermo Cuadrado Bello,ball recovery,96.0,64.0,,,successful,2,39ee7720-def3-4d8f-b9eb-6baec3a90487,statsbomb
7585,1,12.0,Colombia,Juan Guillermo Cuadrado Bello,carry,96.0,64.0,95.0,64.0,successful,2,974d98ad-9eba-4e88-b26f-90a40f3e3783,statsbomb
7585,1,12.64,Colombia,Juan Guillermo Cuadrado Bello,pass,95.0,64.0,92.0,76.0,successful,2,32082c6b-42b8-489f-bf18-bfc70daa9989,statsbomb
7585,1,13.0,England,Jordan Brian Henderson,pressure,26.0,18.0,,,successful,2,0cac6495-0ed6-498b-9e5a-b6ad12ff0810,statsbomb
7585,1,13.293,Colombia,Santiago Arias Naranjo,ball receipt,92.0,76.0,,,successful,2,88e04cc4-52ac-47e5-8ee9-4bc11d1fc03c,statsbomb
7585,1,13.293,Colombia,Santiago Arias Naranjo,carry,92.0,76.0,89.0,66.0,successful,2,37060498-cdd3-4e2f-82bc-e8e06be44ce6,statsbomb
7585,1,14.64,Colombia,Santiago Arias Naranjo,pass,89.0,66.0,90.0,52.0,incomplete,2,b1c5e067-8adb-4291-af9c-5de3c5902d25,statsbomb
7585,1,15.573,Colombia,Radamel Falcao García Zárate,ball receipt,94.0,52.0,,,incomplete,2,4702ba07-f331-4911-a66a-2c57097ede06,statsbomb
7585,1,15.573,England,Jesse Lingard,ball recovery,31.0,29.0,,,successful,3,e4d0f975-57f8-49b4-b04c-6d67430849ce,statsbomb
7585,1,15.573,England,Jesse Lingard,carry,31.0,29.0,32.0,26.0,successful,3,98781270-5abf-4f6b-9785-0a03e35f933a,statsbomb
7585,1,15.68,Colombia,Radamel Falcao García Zárate,pressure,94.0,52.0,,,successful,3,12b374bc-ad5c-46d6-ada6-1af3fd680211,statsbomb
7585,1,16.52,England,Jesse Lingard,pass,32.0,26.0,36.0,28.0,successful,3,6c0e9934-d954-4150-b8a4-293209e8a06e,statsbomb
7585,1,17.12,England,Bamidele Alli,ball receipt,36.0,28.0,,,successful,3,5b8d4390-6832-40da-a433-090dab3a36bc,statsbomb
7585,1,17.12,England,Bamidele Alli,carry,36.0,28.0,36.0,19.0,successful,3,8682cee6-07d2-4a94-b742-27c5ba2e7b0e,statsbomb
7585,1,17.2,Colombia,Santiago Arias Naranjo,pressure,82.0,60.0,,,successful,3,51c4e1d4-db2f-4339-870d-3194c4d84541,statsbomb
7585,1,17.6,England,Bamidele Alli,pass,36.0,19.0,43.0,6.0,successful,3,9e9a7ac6-c840-4f35-907d-dcf5506e5364,statsbomb
7585,1,18.6,Colombia,Santiago Arias Naranjo,pressure,82.0,69.0,,,successful,3,53c92ec6-05bb-4e48-bc4b-aa7d12e69480,statsbomb
7585,1,19.293,England,Harry Kane,ball receipt,43.0,6.0,,,successful,3,5557cc83-e535-4346-8337-2878578cdb92,statsbomb
7585,1,19.293,England,Harry Kane,carry,43.0,6.0,42.0,3.0,successful,3,094a771f-bad9-48b7-a2f1-f045a596fc5b,statsbomb
7585,1,19.693,England,Harry Kane,miscontrol,42.0,3.0,,,successful,3,a96740bb-bdb7-4cbc-9fd2-f54359af76ef,statsbomb
7585,1,24.96,Colombia,,camera on,,,,,successful,4,e367bc1d-69da-47c2-8d20-b75fcf4e3a33,statsbomb
7585,1,27.84,Colombia,Yerry Fernando Mina González,pass,47.0,66.0,35.0,27.0,successful,4,b1c35415-0533-49dd-ba1b-43a7f53ee99b,statsbomb
7585,1,29.8,Colombia,Davinson Sánchez Mina,ball receipt,35.0,27.0,,,successful,4,bbb719b1-09d9-4363-9235-4aa8db799512,statsbomb
7585,1,29.8,Colombia,Davinson Sánchez Mina,carry,35.0,27.0,36.0,31.0,successful,4,25e4b751-3f39-444c-a597-2418b4fc4fef,statsbomb
7585,1,33.16,Colombia,Davinson Sánchez Mina,pass,36.0,31.0,41.0,58.0,successful,4,740d9ece-9bdd-456f-93b8-39851f1af328,statsbomb
7585,1,34.6,Colombia,Yerry Fernando Mina González,ball receipt,41.0,58.0,,,successful,4,630cabe6-b969-4d1d-a213-d463efe24749,statsbomb
7585,1,34.6,Colombia,Yerry Fernando Mina González,carry,41.0,58.0,42.0,58.0,successful,4,e60a5aed-f303-4971-a96c-297c9e8eb317,statsbomb
7585,1,35.64,Colombia,Yerry Fernando Mina González,pass,42.0,58.0,49.0,65.0,successful,4,7e2e9cdb-334d-4324-a4cb-4f078311f482,statsbomb
